Sl.No,Fiber Volume Fraction,Fiber_Thickness,ModelingPly.1.ply_angle, ModelingPly.2.ply_angle, ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle, ModelingPly.6.ply_angle, E1, E2, E3, G12, G23, G31, nu12, nu13,nu23,Inverse Reserve Factor Maximum,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa], Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1]
1,0.6048,0.2327,0,90,90,90,90,0,79305.57,5247.79,4985.4,3031.63,2100.96,2100.96,0.2502,0.2402,0.336,3.0,0.40204,59.472,8.921,41.63,17.841,0.0040204,0.00294256,0.00052493,0.00339981
2,0.5242,0.2912,0,0,90,90,0,0,72114.24,4787.56,4548.18,2569.24,1853.0,1853.0,0.2451,0.2351,0.3662,3.0,0.337906,44.659,6.699,31.261,13.398,0.00337906,0.0026073,0.00043349,0.00279841
3,0.5763,0.271,0,90,90,90,90,0,77619.5,5122.75,4866.61,2860.54,2043.78,2043.78,0.2435,0.2335,0.3123,3.0,0.197109,28.199,4.23,19.74,8.46,0.00197109,0.00147871,0.00025431,0.00165143
4,0.5866,0.2694,45,45,-45,-45,45,45,78577.63,5157.42,4899.55,2970.01,2109.58,2109.58,0.2504,0.2404,0.3381,3.0,0.451709,65.622,9.843,45.935,19.686,0.00451709,0.00331422,0.00058458,0.00381712
5,0.4954,0.2604,0,45,-45,-45,45,0,65471.12,4539.91,4312.91,2436.98,1745.44,1745.44,0.271,0.261,0.3231,3.0,0.255545,32.005,4.801,22.404,9.602,0.00255545,0.00196996,0.00034219,0.00211491
6,0.5865,0.1968,90,45,0,0,45,90,79258.47,5321.86,5055.77,2970.37,1979.89,1979.89,0.3025,0.2925,0.3367,3.0,0.127359,18.921,2.838,13.245,5.676,0.00127359,0.00095549,0.00016711,0.0010666
7,0.5637,0.1968,0,30,-30,-30,30,0,77267.95,4821.3,4580.24,2798.65,1981.26,1981.26,0.2843,0.2743,0.3447,3.0,0.099763,13.588,2.038,9.512,4.077,0.00099763,0.0007283,0.0001231,0.00084552
8,0.5108,0.1837,0,0,90,90,0,0,69986.22,4568.41,4339.99,2477.41,1731.1,1731.1,0.2447,0.2347,0.3225,3.0,0.254528,32.208,4.831,22.545,9.662,0.00254528,0.00195008,0.00032214,0.00211502
9,0.5087,0.2594,0,60,-60,-60,60,0,69427.74,4532.07,4305.46,2571.0,1747.42,1747.42,0.2418,0.2318,0.3072,3.0,0.308641,39.244,5.887,27.471,11.773,0.00308641,0.0022896,0.00039567,0.00259773
10,0.5945,0.2354,90,45,0,0,45,90,80268.7,5422.36,5151.24,2999.15,2113.92,2113.92,0.2705,0.2605,0.3241,3.0,0.110152,16.629,2.494,11.64,4.989,0.00110152,0.00083169,0.00014502,0.00092003
11,0.5761,0.2234,45,-45,45,-45,45,-45,76570.93,5244.47,4982.25,2825.95,1997.29,1997.29,0.3175,0.3075,0.3623,3.0,0.083077,12.036,1.805,8.425,3.611,0.00083077,0.00063885,0.00011003,0.00068848
12,0.5934,0.2339,0,90,90,90,90,0,78966.01,5289.55,5025.07,3017.31,1990.46,1990.46,0.2645,0.2545,0.3463,3.0,0.157461,23.393,3.509,16.375,7.018,0.00157461,0.00116292,0.00020737,0.00132673
13,0.4854,0.2828,0,30,-30,-30,30,0,65802.08,4371.47,4152.9,2522.88,1686.77,1686.77,0.2468,0.2368,0.3333,3.0,0.410202,50.53,7.579,35.371,15.159,0.00410202,0.00300428,0.00053753,0.00346768
14,0.4583,0.2393,0,0,90,90,0,0,62301.83,4344.4,4127.18,2220.29,1572.14,1572.14,0.314,0.304,0.3465,3.0,0.214338,25.301,3.795,17.71,7.59,0.00214338,0.00170928,0.00028427,0.00174712
15,0.5194,0.2509,0,45,-45,-45,45,0,68896.79,4721.39,4485.32,2647.16,1917.65,1917.65,0.2793,0.2693,0.375,3.0,0.059915,7.904,1.186,5.533,2.371,0.00059915,0.00044788,8.031e-05,0.00050223
16,0.5643,0.2368,45,45,-45,-45,45,45,75211.13,5016.81,4765.97,2785.0,1968.17,1968.17,0.3061,0.2961,0.3717,3.0,0.162853,22.775,3.416,15.942,6.832,0.00162853,0.00122666,0.00021197,0.00136192
17,0.478,0.2465,0,0,90,90,0,0,64472.19,4567.64,4339.26,2398.07,1722.31,1722.31,0.3133,0.3033,0.3184,3.0,0.101676,12.721,1.908,8.905,3.816,0.00101676,0.00079573,0.00013812,0.00083554
18,0.4575,0.2466,0,0,90,90,0,0,60774.48,4243.12,4030.96,2233.24,1647.77,1647.77,0.2633,0.2533,0.3412,3.0,0.237611,27.646,4.147,19.352,8.294,0.00237611,0.00185687,0.00031842,0.00195462
19,0.5012,0.2923,0,60,-60,-60,60,0,66190.33,4319.05,4103.09,2516.32,1833.13,1833.13,0.3113,0.3013,0.3715,3.0,0.132229,16.138,2.421,11.297,4.842,0.00132229,0.00096203,0.00017067,0.00112097
20,0.5538,0.2179,0,90,90,90,90,0,74266.06,5149.89,4892.39,2794.58,2014.99,2014.99,0.261,0.251,0.3749,3.0,0.371477,52.945,7.942,37.061,15.883,0.00371477,0.00284183,0.00049904,0.00308423
21,0.4982,0.1947,45,45,-45,-45,45,45,66796.38,4702.96,4467.82,2424.55,1698.94,1698.94,0.3022,0.2922,0.3777,3.0,0.429886,55.074,8.261,38.552,16.522,0.00429886,0.00340728,0.00057716,0.00351316
22,0.5501,0.1973,0,45,-45,-45,45,0,75958.99,4964.92,4716.68,2789.38,1823.01,1823.01,0.2805,0.2705,0.3555,3.0,0.053878,7.485,1.123,5.239,2.245,0.00053878,0.00040249,6.897e-05,0.00045225
23,0.5662,0.204,0,90,90,90,90,0,74848.48,5100.6,4845.57,2802.07,1965.4,1965.4,0.2791,0.2691,0.353,3.0,0.389372,55.178,8.277,38.624,16.553,0.00389372,0.00295377,0.00051603,0.00324537
24,0.6411,0.2144,0,0,90,90,0,0,86283.2,5806.5,5516.17,3216.22,2189.72,2189.72,0.2512,0.2412,0.3335,3.0,0.399096,64.549,9.682,45.184,19.365,0.00399096,0.00301046,0.00052367,0.00333498
25,0.6432,0.2515,0,0,90,90,0,0,85082.13,5700.61,5415.58,3235.17,2311.66,2311.66,0.3064,0.2964,0.3637,3.0,0.407304,65.12,9.768,45.584,19.536,0.00407304,0.00301933,0.00053577,0.00342701
26,0.4965,0.2437,90,45,0,0,45,90,66395.97,4337.22,4120.36,2476.98,1649.96,1649.96,0.2763,0.2663,0.3198,3.0,0.343584,41.885,6.283,29.319,12.565,0.00343584,0.00253643,0.00044158,0.00289711
27,0.4973,0.2695,45,45,-45,-45,45,45,65734.0,4420.75,4199.72,2507.16,1827.1,1827.1,0.2648,0.2548,0.3115,3.0,0.437275,54.202,8.13,37.942,16.261,0.00437275,0.00324287,0.0005772,0.00367827
28,0.6342,0.1999,0,90,90,90,90,0,85455.62,5501.51,5226.44,3156.68,2206.36,2206.36,0.254,0.244,0.3043,3.0,0.158787,24.59,3.689,17.213,7.377,0.00158787,0.00116849,0.00020143,0.00134092
29,0.5682,0.2617,90,45,0,0,45,90,76774.67,5114.07,4858.37,2797.85,2004.63,2004.63,0.2545,0.2445,0.3189,3.0,0.214534,30.457,4.569,21.32,9.137,0.00214534,0.00163289,0.0002777,0.00178667
30,0.4999,0.2485,45,-45,45,-45,45,-45,66567.8,4332.04,4115.43,2570.86,1762.71,1762.71,0.314,0.304,0.3079,3.0,0.250785,30.85,4.627,21.595,9.255,0.00250785,0.00179996,0.0003244,0.00213638
31,0.6187,0.2883,45,-45,45,-45,45,-45,83842.98,5576.3,5297.49,3076.04,2160.33,2160.33,0.2829,0.2729,0.3411,3.0,0.433712,67.301,10.095,47.111,20.19,0.00433712,0.00328185,0.00056189,0.00362072
32,0.6215,0.2355,90,45,0,0,45,90,84116.26,5638.03,5356.13,3085.26,2087.46,2087.46,0.2734,0.2634,0.3186,3.0,0.195871,30.656,4.598,21.459,9.197,0.00195871,0.00149043,0.00025511,0.00163119
33,0.5235,0.224,0,30,-30,-30,30,0,69409.34,4661.35,4428.29,2695.51,1861.39,1861.39,0.2785,0.2685,0.3263,3.0,0.197395,25.937,3.891,18.156,7.781,0.00197395,0.00144333,0.00026158,0.00166927
34,0.5571,0.2818,0,30,-30,-30,30,0,76200.33,4969.3,4720.83,2789.43,1914.93,1914.93,0.2988,0.2888,0.3162,3.0,0.329854,45.853,6.878,32.097,13.756,0.00329854,0.00246575,0.00042122,0.00276821
35,0.589,0.2833,45,45,-45,-45,45,45,80410.59,5573.73,5295.05,2988.64,1982.76,1982.76,0.251,0.241,0.3767,3.0,0.096363,14.812,2.222,10.369,4.444,0.00096363,0.00074342,0.00012894,0.00079725
36,0.6102,0.2512,0,60,-60,-60,60,0,81535.16,5339.53,5072.56,3052.85,2074.79,2074.79,0.2476,0.2376,0.3493,3.0,0.365996,54.942,8.241,38.46,16.483,0.00365996,0.00269955,0.00047169,0.00308691
37,0.4843,0.2478,0,30,-30,-30,30,0,65740.11,4369.13,4150.67,2446.12,1775.71,1775.71,0.288,0.278,0.3745,3.0,0.325131,39.697,5.954,27.788,11.909,0.00325131,0.00243426,0.00042269,0.00272571
38,0.4739,0.1941,0,30,-30,-30,30,0,64424.83,4392.51,4172.88,2335.48,1699.5,1699.5,0.2667,0.2567,0.3719,3.0,0.095073,11.491,1.724,8.044,3.447,0.00095073,0.00073804,0.00012486,0.00078482
39,0.6025,0.2125,0,60,-60,-60,60,0,81155.34,5480.07,5206.06,3072.52,2055.85,2055.85,0.2707,0.2607,0.3584,3.0,0.190133,29.121,4.368,20.385,8.736,0.00190133,0.00142167,0.00025118,0.00159418
40,0.5606,0.2923,45,-45,45,-45,45,-45,76694.07,5047.1,4794.75,2882.73,2004.93,2004.93,0.3161,0.3061,0.3095,3.0,0.377921,53.606,8.041,37.524,16.082,0.00377921,0.00278934,0.00048927,0.00318635
41,0.6201,0.2564,0,30,-30,-30,30,0,83165.17,5597.14,5317.29,3179.11,2090.26,2090.26,0.2636,0.2536,0.3367,3.0,0.091642,14.388,2.158,10.072,4.316,0.00091642,0.00067888,0.0001211,0.00077119
42,0.5385,0.2162,0,60,-60,-60,60,0,73024.01,4634.25,4402.54,2553.71,1887.34,1887.34,0.2627,0.2527,0.367,3.0,0.475115,61.298,9.195,42.909,18.389,0.00475115,0.00360053,0.0005876,0.00396815
43,0.4713,0.2999,0,45,-45,-45,45,0,64535.49,4275.94,4062.14,2388.22,1614.26,1614.26,0.2514,0.2414,0.3621,3.0,0.375496,44.84,6.726,31.388,13.452,0.00375496,0.00281634,0.00048637,0.003146
44,0.4896,0.2893,0,0,90,90,0,0,65782.51,4389.14,4169.68,2497.98,1614.09,1614.09,0.3041,0.2941,0.3191,3.0,0.362627,44.677,6.702,31.274,13.403,0.00362627,0.0026828,0.00047541,0.00305371
45,0.6199,0.1869,45,45,-45,-45,45,45,83921.39,5742.32,5455.2,3179.07,2166.13,2166.13,0.25,0.24,0.3404,3.0,0.352193,56.309,8.446,39.416,16.893,0.00352193,0.00265684,0.00046968,0.00294177
46,0.599,0.2556,45,45,-45,-45,45,45,80156.8,5169.26,4910.8,2941.9,2078.73,2078.73,0.2968,0.2868,0.3784,3.0,0.405447,58.864,8.83,41.205,17.659,0.00405447,0.00300134,0.00051405,0.00341621
47,0.5723,0.1865,0,90,90,90,90,0,77104.37,4876.14,4632.34,2917.24,1972.83,1972.83,0.2547,0.2447,0.3784,3.0,0.316784,43.974,6.596,30.782,13.192,0.00316784,0.00226109,0.00039922,0.00270547
48,0.5417,0.2741,0,90,90,90,90,0,73525.53,4929.7,4683.21,2787.8,1878.85,1878.85,0.2862,0.2762,0.356,3.0,0.322694,44.572,6.686,31.2,13.372,0.00322694,0.00239822,0.00042435,0.00271244
49,0.5798,0.2929,0,30,-30,-30,30,0,78697.83,5511.27,5235.71,3023.85,2032.93,2032.93,0.2622,0.2522,0.3244,3.0,0.102905,15.743,2.361,11.02,4.723,0.00102905,0.00078095,0.00014003,0.00085697
50,0.5356,0.2533,0,60,-60,-60,60,0,72680.08,4695.22,4460.46,2582.53,1770.88,1770.88,0.2654,0.2554,0.3029,3.0,0.339503,44.342,6.651,31.04,13.303,0.00339503,0.00257551,0.00042707,0.00283324
51,0.5337,0.2369,0,90,90,90,90,0,72464.05,4742.06,4504.96,2651.34,1877.15,1877.15,0.2653,0.2553,0.363,3.0,0.150969,20.003,3.001,14.002,6.001,0.00150969,0.00113169,0.00019323,0.00126549
52,0.5598,0.2318,0,60,-60,-60,60,0,78694.11,5071.92,4818.33,2885.14,1963.98,1963.98,0.3137,0.3037,0.3403,3.0,0.311112,44.312,6.647,31.019,13.294,0.00311112,0.00230383,0.00039417,0.00262105
