Fiber Volume Fraction,Load (N),Ply1 Angle,Ply2 Angle,Ply3 Angle,Ply4 Angle,Ply5 Angle,Ply6 Angle,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Inverse Reserve Factor Maximum
0.59,9078,0,0,90,90,0,0,3.023,130.41,0.003307,0.195
0.54,7612,0,45,-45,90,-45,45,2.434,131.64,0.002653,0.201
0.56,7501,90,0,45,-45,0,90,2.483,116.61,0.002761,0.183
0.53,3029,0,45,-45,90,-45,45,0.935,54.84,0.001037,0.083
0.57,8927,0,30,-30,-30,30,0,2.795,138.16,0.003074,0.216
0.55,3622,0,60,-60,-60,60,0,1.096,59.58,0.00122,0.093
0.59,5360,0,30,60,-60,-30,0,1.569,85.7,0.001772,0.134
0.52,1285,0,30,60,-60,-30,0,0.436,21.34,0.000483,0.033
0.57,6207,90,0,45,-45,0,90,1.991,95.89,0.00218,0.148
0.46,6014,0,45,-45,90,-45,45,2.211,123.87,0.002503,0.195
0.58,2334,0,0,90,90,0,0,0.754,32.34,0.000825,0.049
0.63,6146,90,45,0,0,45,90,1.68,87.95,0.001869,0.138
0.46,9348,45,45,-45,-45,45,45,3.578,175.93,0.004044,0.277
0.53,7327,0,0,90,90,0,0,2.672,116.11,0.003008,0.177
0.56,3953,0,30,-30,-30,30,0,1.269,62.43,0.001392,0.097
0.53,5885,45,-45,45,-45,45,-45,1.837,105.97,0.002081,0.166
0.54,4239,45,45,-45,-45,45,45,1.409,69.43,0.00159,0.109
0.46,2874,0,60,-60,-60,60,0,1.129,54.36,0.00125,0.085
0.65,3342,0,30,-30,-30,30,0,0.927,43.53,0.001013,0.065
0.5,9253,0,45,-45,-45,45,0,3.167,171.84,0.00354,0.266
0.61,2164,0,45,-45,90,-45,45,0.594,32.84,0.000656,0.05
0.55,6017,90,45,0,0,45,90,1.994,96.13,0.002201,0.147
0.48,3328,0,15,-15,-15,15,0,1.269,59.49,0.001386,0.091
0.61,7629,0,15,-15,-15,15,0,2.148,116.32,0.002351,0.18
0.44,2405,45,45,-45,-45,45,45,0.893,50.81,0.000984,0.079
0.55,1400,0,45,-45,-45,45,0,0.428,23.7,0.000473,0.037
0.51,5529,0,0,90,90,0,0,2.127,88.45,0.002397,0.134
0.45,6619,0,0,90,90,0,0,2.778,120.6,0.003096,0.191
0.54,6034,0,15,-15,-15,15,0,1.835,105.52,0.002038,0.165
0.56,2939,0,30,-30,-30,30,0,0.956,44.72,0.001057,0.067
0.63,3887,0,30,60,-60,-30,0,1.119,54.12,0.001251,0.083
0.46,6221,0,0,90,90,0,0,2.585,109.78,0.002875,0.166
0.6,8532,0,0,90,90,0,0,2.676,116.12,0.002965,0.176
0.42,4796,90,45,0,0,45,90,1.975,105.44,0.002214,0.161
0.49,6727,0,30,-30,-30,30,0,2.434,125.27,0.002681,0.191
0.47,3680,45,-45,45,-45,45,-45,1.3,75.88,0.001473,0.118
0.56,2407,0,60,-60,-60,60,0,0.737,39.55,0.000828,0.061
0.58,1358,0,0,90,90,0,0,0.452,19.23,0.000496,0.03
0.49,9221,0,60,-60,-60,60,0,3.31,174.48,0.003671,0.262
0.51,9369,45,-45,45,-45,45,-45,2.952,181.55,0.003241,0.274
