Sl.No,Fiber Volume Fraction (%),Ply Thickness (mm),Load (N),ModelingPly.1.ply_angle,ModelingPly.2.ply_angle,ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle,ModelingPly.6.ply_angle,Laminate Family,Equivalent Stress Maximum (MPa),Equivalent Elastic Strain Maximum (mm/mm),Total Deformation Maximum (mm),Inverse Reserve Factor Maximum,Fail Status
1,40.0,0.2,1588,0,90,90,90,90,0,Cross-Ply,81.151,0.001159,0.17389,0.732,FAIL
2,40.1,0.2,2281,0,90,90,90,90,0,Cross-Ply,220.819,0.003155,0.47318,1.131,No Fail
3,40.2,0.2,3868,0,90,90,90,90,0,Cross-Ply,369.421,0.005277,0.79162,1.555,No Fail
4,40.3,0.2,1804,0,90,90,90,90,0,Cross-Ply,76.398,0.001091,0.16371,0.718,FAIL
5,40.4,0.2,1604,0,90,90,90,90,0,Cross-Ply,112.073,0.001601,0.24016,0.82,FAIL
6,40.5,0.2,3269,0,90,90,90,90,0,Cross-Ply,358.614,0.005123,0.76846,1.525,No Fail
7,40.6,0.2,2196,0,90,90,90,90,0,Cross-Ply,242.36,0.003462,0.51934,1.192,No Fail
8,40.7,0.2,3407,0,90,90,90,90,0,Cross-Ply,319.978,0.004571,0.68567,1.414,No Fail
9,40.8,0.2,3562,0,90,90,90,90,0,Cross-Ply,397.143,0.005673,0.85102,1.635,No Fail
10,40.9,0.2,1523,0,90,90,90,90,0,Cross-Ply,60.0,0.000857,0.12857,0.671,FAIL
11,41.0,0.2,3943,0,90,90,90,90,0,Cross-Ply,370.172,0.005288,0.79323,1.558,No Fail
12,41.1,0.2,2044,0,90,90,90,90,0,Cross-Ply,180.918,0.002585,0.38768,1.017,No Fail
13,41.2,0.2,2678,0,90,90,90,90,0,Cross-Ply,183.155,0.002616,0.39247,1.023,No Fail
14,41.3,0.2,1839,0,90,90,90,90,0,Cross-Ply,186.441,0.002663,0.39952,1.033,No Fail
15,41.4,0.2,3613,0,90,90,90,90,0,Cross-Ply,321.052,0.004586,0.68797,1.417,No Fail
16,41.5,0.2,4054,0,90,90,90,90,0,Cross-Ply,384.595,0.005494,0.82413,1.599,No Fail
17,41.6,0.2,4906,0,90,90,90,90,0,Cross-Ply,532.797,0.007611,1.14171,2.022,No Fail
18,41.7,0.2,3432,0,90,90,90,90,0,Cross-Ply,359.076,0.00513,0.76945,1.526,No Fail
19,41.8,0.2,3665,0,90,90,90,90,0,Cross-Ply,330.275,0.004718,0.70773,1.444,No Fail
20,41.9,0.2,3521,0,90,90,90,90,0,Cross-Ply,306.991,0.004386,0.65784,1.377,No Fail
21,42.0,0.2,1660,0,90,90,90,90,0,Cross-Ply,82.167,0.001174,0.17607,0.735,FAIL
22,42.1,0.2,2513,0,90,90,90,90,0,Cross-Ply,257.615,0.00368,0.55203,1.236,No Fail
23,42.2,0.2,2315,0,90,90,90,90,0,Cross-Ply,251.017,0.003586,0.53789,1.217,No Fail
24,42.3,0.2,2473,0,90,90,90,90,0,Cross-Ply,269.092,0.003844,0.57662,1.269,No Fail
25,42.4,0.2,2777,0,90,90,90,90,0,Cross-Ply,238.642,0.003409,0.51138,1.182,No Fail
26,42.5,0.2,2233,0,90,90,90,90,0,Cross-Ply,201.928,0.002885,0.4327,1.077,No Fail
27,42.6,0.2,4778,0,90,90,90,90,0,Cross-Ply,551.493,0.007878,1.18177,2.076,No Fail
28,42.7,0.2,3632,0,90,90,90,90,0,Cross-Ply,349.878,0.004998,0.74974,1.5,No Fail
29,42.8,0.2,4052,0,90,90,90,90,0,Cross-Ply,468.266,0.00669,1.00343,1.838,No Fail
30,42.9,0.2,2828,0,90,90,90,90,0,Cross-Ply,307.739,0.004396,0.65944,1.379,No Fail
31,43.0,0.2,3740,0,90,90,90,90,0,Cross-Ply,319.063,0.004558,0.68371,1.412,No Fail
32,43.1,0.2,3896,0,90,90,90,90,0,Cross-Ply,396.774,0.005668,0.85023,1.634,No Fail
33,43.2,0.2,4216,0,90,90,90,90,0,Cross-Ply,401.256,0.005732,0.85983,1.646,No Fail
34,43.3,0.2,1612,0,90,90,90,90,0,Cross-Ply,138.596,0.00198,0.29699,0.896,FAIL
35,43.4,0.2,2437,0,90,90,90,90,0,Cross-Ply,236.056,0.003372,0.50584,1.174,No Fail
36,43.5,0.2,4800,0,90,90,90,90,0,Cross-Ply,561.775,0.008025,1.2038,2.105,No Fail
37,43.6,0.2,2601,0,90,90,90,90,0,Cross-Ply,183.701,0.002624,0.39364,1.025,No Fail
38,43.7,0.2,2885,0,90,90,90,90,0,Cross-Ply,250.264,0.003575,0.53628,1.215,No Fail
39,43.8,0.2,3106,0,90,90,90,90,0,Cross-Ply,245.269,0.003504,0.52558,1.201,No Fail
40,43.9,0.2,2363,0,90,90,90,90,0,Cross-Ply,232.978,0.003328,0.49924,1.166,No Fail
