Sl.No,Fiber Volume Fraction (%),Ply Thickness (mm),Load (N),ModelingPly.1.ply_angle,ModelingPly.2.ply_angle,ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle,ModelingPly.6.ply_angle,Laminate Family,E1,E2,E3,G12,G23,G31,nu12,nu13,nu23,Equivalent Stress Maximum (MPa),Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa],Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum (mm/mm),Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1],Total Deformation Maximum (mm),Inverse Reserve Factor Maximum,Fail Status,Plate Length (mm),Plate Width (mm),Nx_true (N/mm),Ny_true (N/mm),Nxy_true (N/mm)
1,40.0,0.2,1588,0,90,90,90,90,0,Cross-Ply,94100.0,8100.0,8100.0,11580.0,6948.0,11580.0,0.29,0.29,0.348,81.151,17.85322,60.86325,32.4604,0.001159,0.00029,0.000834,0.00044,0.17389,0.732,FAIL,150.0,100.0,15.88,0.0,0.0
2,40.1,0.2,2281,0,90,90,90,90,0,Cross-Ply,94326.5,8111.5,8111.5,11605.7,6963.42,11605.7,0.28985,0.28985,0.34792,220.819,49.382053,166.912436,88.294951,0.003155,0.000792,0.002285,0.001199,0.47318,1.131,No Fail,150.0,100.0,22.81,0.0,0.0
3,40.2,0.2,3868,0,90,90,90,90,0,Cross-Ply,94553.0,8123.0,8123.0,11631.4,6978.839999999999,11631.4,0.2897,0.2897,0.34784,369.421,83.94454,281.401861,147.550239,0.005277,0.00133,0.003844,0.002004,0.79162,1.555,No Fail,150.0,100.0,38.68,0.0,0.0
4,40.3,0.2,1804,0,90,90,90,90,0,Cross-Ply,94779.5,8134.499999999999,8134.499999999999,11657.1,6994.26,11657.1,0.28955,0.28955,0.3477599999999999,76.398,17.630699,58.639713,30.457937,0.001091,0.000276,0.000799,0.000414,0.16371,0.718,FAIL,150.0,100.0,18.04,0.0,0.0
5,40.4,0.2,1604,0,90,90,90,90,0,Cross-Ply,95006.0,8146.0,8146.0,11682.8,7009.679999999999,11682.8,0.2894,0.2894,0.34768,112.073,26.250523,86.667497,44.566025,0.001601,0.000407,0.001179,0.000607,0.24016,0.82,FAIL,150.0,100.0,16.04,0.0,0.0
6,40.5,0.2,3269,0,90,90,90,90,0,Cross-Ply,95232.5,8157.5,8157.5,11708.5,7025.099999999999,11708.5,0.28925,0.28925,0.3476,358.614,85.193116,279.356558,142.135633,0.005123,0.001307,0.003795,0.001941,0.76846,1.525,No Fail,150.0,100.0,32.69,0.0,0.0
7,40.6,0.2,2196,0,90,90,90,90,0,Cross-Ply,95459.0,8169.0,8169.0,11734.2,7040.52,11734.2,0.2890999999999999,0.2890999999999999,0.34752,242.36,58.34872,190.147396,95.676075,0.003462,0.000887,0.002579,0.00131,0.51934,1.192,No Fail,150.0,100.0,21.96,0.0,0.0
8,40.7,0.2,3407,0,90,90,90,90,0,Cross-Ply,95685.5,8180.5,8180.5,11759.9,7055.94,11759.9,0.28895,0.28895,0.3474399999999999,319.978,78.001354,252.789888,125.727334,0.004571,0.001176,0.003423,0.001726,0.68567,1.414,No Fail,150.0,100.0,34.07,0.0,0.0
9,40.8,0.2,3562,0,90,90,90,90,0,Cross-Ply,95912.0,8192.0,8192.0,11785.6,7071.36,11785.6,0.2888,0.2888,0.34736,397.143,97.93284,315.864137,155.214435,0.005673,0.001465,0.00427,0.002139,0.85102,1.635,No Fail,150.0,100.0,35.62,0.0,0.0
10,40.9,0.2,1523,0,90,90,90,90,0,Cross-Ply,96138.5,8203.5,8203.5,11811.3,7086.78,11811.3,0.2886499999999999,0.2886499999999999,0.34728,60.0,14.95177,48.030154,23.309325,0.000857,0.000222,0.000648,0.000322,0.12857,0.671,FAIL,150.0,100.0,15.23,0.0,0.0
